iter	Passed	Remaining
0	0	632
1	1	546
2	1	545
3	2	538
4	2	541
5	3	530
6	3	524
7	4	519
8	4	519
9	5	538
10	6	562
11	7	592
12	8	610
13	9	647
14	9	650
15	10	648
16	11	652
17	12	671
18	12	670
19	13	671
20	14	661
21	14	661
22	15	659
23	16	667
24	17	666
25	17	666
26	18	664
27	19	661
28	19	660
29	20	654
30	20	652
31	21	651
32	22	654
33	23	658
34	23	659
35	24	658
36	25	657
37	25	654
38	26	651
39	27	648
40	27	648
41	28	647
42	29	646
43	29	643
44	30	642
45	30	640
46	31	639
47	32	638
48	32	636
49	33	636
50	34	634
51	34	632
52	35	632
53	36	631
54	36	630
55	37	631
56	38	632
57	39	633
58	39	632
59	40	631
60	41	631
61	41	629
62	42	626
63	42	626
64	43	626
65	44	625
66	44	624
67	45	622
68	45	618
69	46	616
70	47	615
71	47	614
72	48	614
73	49	613
74	49	609
75	50	608
76	50	607
77	51	607
78	52	607
79	52	608
80	53	608
81	54	608
82	54	607
83	55	606
84	56	605
85	56	604
86	57	603
87	58	602
88	58	601
89	59	600
90	59	598
91	60	598
92	61	598
93	62	598
94	62	597
95	63	596
96	63	595
97	64	595
98	65	594
99	65	593
100	66	593
101	67	593
102	68	593
103	68	593
104	69	594
105	70	591
106	70	590
107	71	589
108	72	589
109	72	586
110	73	586
111	73	585
112	74	584
113	75	583
114	75	583
115	76	581
116	77	582
117	77	582
118	78	581
119	79	581
120	79	579
121	80	578
122	81	577
123	81	577
124	82	579
125	83	580
126	84	580
127	85	579
128	85	578
129	86	576
130	86	576
131	87	574
132	88	574
133	88	573
134	89	572
135	89	571
136	90	570
137	91	569
138	91	568
139	92	567
140	93	566
141	93	565
142	94	564
143	94	563
144	95	562
145	95	561
146	96	559
147	97	562
148	98	563
149	99	562
150	99	562
151	100	561
152	101	559
153	101	558
154	102	557
155	102	554
156	103	553
157	103	552
158	104	551
159	104	550
160	105	548
161	105	547
162	106	546
163	107	545
164	107	544
165	108	543
166	108	542
167	109	541
168	109	540
169	110	539
170	110	537
171	111	537
172	112	537
173	113	539
174	114	539
175	114	538
176	115	537
177	116	537
178	116	536
179	117	535
180	118	535
181	119	534
182	119	534
183	120	533
184	121	533
185	121	532
186	122	531
187	122	530
188	123	530
189	124	530
190	125	530
191	125	529
192	126	528
193	127	528
194	127	528
195	128	528
196	129	527
197	130	526
198	130	526
199	131	525
200	131	523
201	132	522
202	132	521
203	133	520
204	133	519
205	134	518
206	135	517
207	135	516
208	136	515
209	136	514
210	137	513
211	137	512
212	138	511
213	138	510
214	139	509
215	140	508
216	140	507
217	141	506
218	141	505
219	142	504
220	143	504
221	143	504
222	144	503
223	145	503
224	145	502
225	146	502
226	147	501
227	148	501
228	148	501
229	149	500
230	150	499
231	150	498
232	151	497
233	151	496
234	152	495
235	152	494
236	153	493
237	153	492
238	154	492
239	155	491
240	155	490
241	156	489
242	156	488
243	157	487
244	157	486
245	158	486
246	159	486
247	160	486
248	161	485
249	161	484
250	162	484
251	162	483
252	163	482
253	163	481
254	164	480
255	165	479
256	165	478
257	166	477
258	166	477
259	167	476
260	167	475
261	168	474
262	168	473
263	169	472
264	170	471
265	170	470
